Team,W,spend,mpw
Boston Bruins,46.4,82569596.0,1.78
Tampa Bay Lightning,43.3,79253716.0,1.83
Florida Panthers,41.7,80982506.0,1.94
Montreal Canadiens,40.5,77290175.0,1.91
Toronto Maple Leafs,41.4,94333187.0,2.28
Buffalo Sabres,39.0,83946056.0,2.15
Ottawa Senators,36.8,75730715.0,2.06
Detroit Red Wings,25.6,80176672.0,3.13
Washington Capitals,50.0,81007358.0,1.62
New York Islanders,49.2,75499829.0,1.53
Carolina Hurricanes,47.1,79972980.0,1.7
Pittsburgh Penguins,45.6,81154248.0,1.78
Philadelphia Flyers,43.2,83503260.0,1.93
New York Rangers,40.2,78167775.0,1.94
Columbus Blue Jackets,37.6,74798101.0,1.99
New Jersey Devils,31.8,75997114.0,2.39
Colorado Avalanche,48.7,75122369.0,1.54
St. Louis Blues,46.3,83095234.0,1.79
Dallas Stars,44.2,81825021.0,1.85
Winnipeg Jets,42.9,76906546.0,1.79
Nashville Predators,39.8,78494271.0,1.97
Minnesota Wild,40.3,79678186.0,1.98
Chicago Blackhawks,36.2,82479656.0,2.28
Arizona Coyotes,43.1,85064336.0,1.97
Vegas Golden Knights,41.1,81570555.0,1.98
Edmonton Oilers,41.1,80861524.0,1.97
Calgary Flames,40.0,82012291.0,2.05
Vancouver Canucks,40.1,83315460.0,2.08
Anaheim Ducks,36.1,78927337.0,2.19
Los Angeles Kings,35.3,76707496.0,2.17
San Jose Sharks,36.3,81273913.0,2.24
